territory,tier,state,county,major_city,zipcode,population,median_household_income,income_factor,target_clinics,npi_providers,npi_locations,our_accts,open_clinics,annual_potential,current_owner
Dallas (DFW),1,TX,Tarrant County,Mansfield,76063,61361,92052,1.2684198676775447,8,6,4,1,7,24500,Jamie Bergeron
Dallas (DFW),1,TX,Denton County,Carrollton,75007,51624,78934,1.17456884505351,6,,,0,6,21000,Jamie Bergeron
Dallas (DFW),1,TX,Collin County,Plano,75025,50926,104168,1.3493157336173816,7,2,2,1,6,21000,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Garland,75040,59406,54664,0.9774557941611896,6,1,1,0,6,21000,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Garland,75043,58094,55149,0.98178240011016,6,5,3,0,6,21000,Jamie Bergeron
Dallas (DFW),1,TX,Collin County,Wylie,75098,48197,81413,1.1928705060953555,6,,,0,6,21000,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Dallas,75211,73146,36704,0.8009457838576736,6,,,0,6,21000,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Dallas,75217,80324,34480,0.7763008292590658,6,,,0,6,21000,Jamie Bergeron
Dallas (DFW),1,TX,Johnson County,Burleson,76028,59744,69676,1.1035398655889161,7,6,4,1,6,21000,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Fort Worth,76137,54911,66306,1.0765218180191678,6,2,2,0,6,21000,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Fort Worth,76179,48058,75472,1.1485220857237473,6,,,0,6,21000,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Keller,76244,60388,93705,1.279757855388492,8,8,3,2,6,21000,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Carrollton,75006,46364,56985,0.9979911678144795,5,1,1,0,5,17500,Jamie Bergeron
Dallas (DFW),1,TX,Collin County,Plano,75023,45452,74777,1.143221649726888,5,1,1,0,5,17500,Jamie Bergeron
